time,Payload no,Payload Yes,p1,p2
590,57.74,60.85,42.26,39.15
591,65.57,83,34.43,17
592,62.84,99.25,37.16,0.75
593,74.69,83.21,25.31,16.79
594,48.85,99.5,51.15,0.5
595,49.13,99.5,50.87,0.5
596,49.88,99.5,50.12,0.5
597,70.07,99.25,29.93,0.75
598,72.29,98.75,27.71,1.25
599,58.66,95.75,41.34,4.25
600,74.44,99.75,25.56,0.25
601,72.8,99.25,27.2,0.75
602,58.1,99.5,41.9,0.5
603,72.12,98.49,27.88,1.51
604,73.38,97.74,26.62,2.26
605,73.72,98.51,26.28,1.49
606,73.54,98.51,26.46,1.49
607,72.86,99.75,27.14,0.25
608,72.54,98.99,27.46,1.01
609,67.17,99.25,32.83,0.75
610,69.6,99.5,30.4,0.5
611,72.04,99.25,27.96,0.75
612,72.84,99.25,27.16,0.75
613,72.5,98.99,27.5,1.01
614,70.4,99,29.6,1
615,73.48,98.26,26.52,1.74
616,71.9,99.5,28.1,0.5
617,70.32,98.5,29.68,1.5
618,73.62,99.25,26.38,0.75
619,73.07,99.25,26.93,0.75
620,81.01,99.25,18.99,0.75
621,99.75,98.75,0.25,1.25
622,99,99,1,1
623,99.5,98.99,0.5,1.01
624,90.7,83.42,9.3,16.58
625,74.69,99.75,25.31,0.25
626,48.61,99.75,51.39,0.25
627,43.93,99.5,56.07,0.5
628,74.56,84.96,25.44,15.04
629,56.28,98.74,43.72,1.26
630,61.18,99.75,38.82,0.25
631,80.4,99.75,19.6,0.25
632,99.25,99.75,0.75,0.25
633,96.48,99.24,3.52,0.76
634,99.25,97.49,0.75,2.51
635,88.83,99.5,11.17,0.5
636,63.91,99.75,36.09,0.25
637,71.57,99.5,28.43,0.5
638,70.78,98.99,29.22,1.01
639,54.86,99.24,45.14,0.76
640,62.03,99.5,37.97,0.5
641,68.97,98.99,31.03,1.01
642,73.21,99.5,26.79,0.5
643,66.5,99,33.5,1
644,55.03,99.75,44.97,0.25
645,74.5,99.5,25.5,0.5
646,74.44,99.49,25.56,0.51
647,68.75,81.57,31.25,18.43
648,30.72,70.45,69.28,29.55
649,66.58,73.75,33.42,26.25
650,71.97,73.87,28.03,26.13
651,63.13,73.82,36.87,26.18
652,46.6,73.23,53.4,26.77
653,42.46,81,57.54,19
654,58.6,99.5,41.4,0.5
655,73.75,99.25,26.25,0.75
656,38.58,99.5,61.42,0.5
657,50.77,99.5,49.23,0.5
658,72.73,87.28,27.27,12.72
659,69.08,74.06,30.92,25.94
660,71.86,75.25,28.14,24.75
661,70.32,74.94,29.68,25.06
662,72.41,85.43,27.59,14.57
663,68.75,99.24,31.25,0.76
664,69.87,98.24,30.13,1.76
665,70.35,99.25,29.65,0.75
666,70.07,99.25,29.93,0.75
667,69.02,99.5,30.98,0.5
668,66.58,99.5,33.42,0.5
669,69.44,99,30.56,1
670,70.07,100,29.93,0
671,69.58,99.75,30.42,0.25
672,72.54,99.5,27.46,0.5
673,72.54,99.75,27.46,0.25
674,72.11,83.04,27.89,16.96
675,70.96,29.72,29.04,70.28
676,44,24.87,56,75.13
677,27.86,25.13,72.14,74.87
678,40.97,25,59.03,75
679,72.22,28.7,27.78,71.3
680,72.04,99.25,27.96,0.75
681,70,99.25,30,0.75
682,72.47,98.75,27.53,1.25
683,75.13,99.25,24.87,0.75
684,58.4,99.25,41.6,0.75
685,88.89,98.75,11.11,1.25
686,99.75,99,0.25,1
687,99.5,99,0.5,1
688,83.92,99,16.08,1
689,85.1,98.75,14.9,1.25
690,50.51,98.26,49.49,1.74
691,47.09,98.99,52.91,1.01
692,50,98.75,50,1.25
693,25.32,99,74.68,1
694,48.99,83.96,51.01,16.04
695,37.47,99.49,62.53,0.51
696,0,99.5,100,0.5
697,0,98.51,100,1.49
698,0,99.5,100,0.5
699,75.69,98.75,24.31,1.25
700,93.72,99.25,6.28,0.75
701,78.39,99.25,21.61,0.75
702,100,99.25,0,0.75
703,99.75,99,0.25,1
704,99.25,98.75,0.75,1.25
705,92.44,97.99,7.56,2.01
706,50.22,99.01,49.78,0.99
707,99,99.75,1,0.25
708,99.25,99.75,0.75,0.25
709,99.5,99.5,0.5,0.5
710,99.25,99,0.75,1
711,98.99,75.94,1.01,24.06
712,99.25,92,0.75,8
713,98.74,99.25,1.26,0.75
714,99.25,99.25,0.75,0.75
715,98.5,98.5,1.5,1.5
716,98.99,98.75,1.01,1.25
717,99.5,99.5,0.5,0.5
718,99.25,99.5,0.75,0.5
719,99.25,98.75,0.75,1.25
720,99.5,99.24,0.5,0.76
721,97.98,99,2.02,1
722,99.5,99,0.5,1
723,71.28,99.25,28.72,0.75
724,97.49,98.5,2.51,1.5
725,99,98.25,1,1.75
726,83.46,99.25,16.54,0.75
727,99.5,99.25,0.5,0.75
728,99.25,99.25,0.75,0.75
729,99.5,99.5,0.5,0.5
730,99.25,98.5,0.75,1.5
731,94.26,99.5,5.74,0.5
732,99.49,81.82,0.51,18.18
733,98.75,99.75,1.25,0.25
734,99,98.51,1,1.49
735,99.5,97.25,0.5,2.75
736,99,99.25,1,0.75
737,99.5,99.25,0.5,0.75
738,99.5,99.5,0.5,0.5
739,69.92,82.28,30.08,17.72
740,96.73,87.63,3.27,12.37
741,50,73.37,50,26.63
742,48.24,70.35,51.76,29.65
743,72.73,73.75,27.27,26.25
744,74.19,74.62,25.81,25.38
745,73.43,72.82,26.57,27.18
746,74.06,52.87,25.94,47.13
747,73.87,52.5,26.13,47.5
748,73.1,85.43,26.9,14.57
749,98.76,99.25,1.24,0.75
750,98.99,99,1.01,1
751,70.6,69.67,29.4,30.33
752,71.14,99.5,28.86,0.5
753,67.01,99.25,32.99,0.75
754,65.27,99,34.73,1
755,71.28,99.5,28.72,0.5
